Part,SN,Config,NO.,Mode,Gloss1,Gloss2,"Gloss_avg1,2",Gloss3,Gloss4,L1.D65,A1.D65,B1.D65,L1.F2,A1.F2,B1.F2,L1.A,A1.A,B1.A,L2.D65,A2.D65,B2.D65,L2.F2,A2.F2,B2.F2,L2.A,A2.A,B2.A,Lvalue,Avalue,Bvalue,"L.F2_avg1,2","A.F2_avg1,2","B.F2_avg1,2","L.A_avg1,2","A.A_avg1,2","B.A_avg1,2",L3.D65,A3.D65,B3.D65,L3.F2,A3.F2,B3.F2,L3.A,A3.A,B3.A,L4.D65,A4.D65,B4.D65,L4.F2,A4.F2,B4.F2,L4.A,A4.A,B4.A,F,Config 2,Items,dye1,dye2,Temp,Time,Na2SO4 (g/L),Dyeing pH,DE*cmc
Kickstand,MJS0000067343381,16,177,SCI,12.88,12.9,12.89,12.31,12.79,86.52,4.11,5.4,87.16,2.45,6.2,87.37,4.55,7.07,86.73,4.02,5.32,87.37,2.4,6.12,87.57,4.45,6.97,86.625,4.065,5.36,87.265,2.425,6.16,87.47,4.5,7.02,86.18,4.36,5.9,86.89,2.59,6.77,87.09,4.84,7.7,86.21,4.32,5.82,86.92,2.56,6.68,87.12,4.8,7.6,10.9,16,000a,0.25,0.04,15,5.6,1,6.8,0.76
Bucket,MJS0000067162618,16,181,SCI,11.86,12.55,12.205,11.9,12.7,86.47,4.19,5.54,87.14,2.49,6.37,87.34,4.66,7.27,86.54,4.2,5.53,87.21,2.49,6.36,87.41,4.65,7.25,86.505,4.195,5.535,87.175,2.49,6.365,87.375,4.655,7.26,85.23,4.52,6.46,85.99,2.66,7.42,86.2,5.05,8.35,84.93,4.5,6.51,85.69,2.63,7.48,85.9,5.04,8.4,12.3,16,000a,0.25,0.04,15,5.6,1,6.8,0.57
Kickstand,MJS0000066247856,17,185,SCI,13.2,13.06,13.13,11.58,12.19,85.41,4.73,3.87,85.9,2.97,4.39,86.23,5.15,5.56,85.54,4.65,3.9,86.07,2.92,4.43,86.4,5.11,5.58,85.475,4.69,3.885,85.985,2.945,4.41,86.315,5.13,5.57,85.15,4.85,4.28,85.68,3.02,4.82,86.05,5.35,6.05,85.17,4.85,4.17,85.7,3.04,4.75,86.0,5.35,5.93,9.9,17,−+−+,0.2,0.048,14,8.4,1,6.8,3.38
Kickstand,MJS0000066040688,17,186,SCI,13.45,13.18,13.315,12.13,12.71,85.61,4.7,3.91,86.1,2.93,4.43,86.42,5.16,5.58,85.76,4.65,3.93,86.27,2.89,4.46,86.58,5.1,5.6,85.685,4.675,3.92,86.185,2.91,4.445,86.5,5.13,5.59,85.43,4.88,4.38,85.98,3.0,4.97,86.3,5.37,6.17,85.39,4.89,4.3,85.93,3.01,4.87,86.26,5.38,6.07,12.5,17,−+−+,0.2,0.048,14,8.4,1,6.8,3.3
Kickstand,MJS0000066030874,17,187,SCI,13.53,12.91,13.22,12.19,12.6,85.32,4.7,3.85,85.81,2.93,4.36,86.13,5.15,5.52,85.44,4.68,3.92,85.95,2.91,4.45,86.26,5.12,5.59,85.38,4.69,3.885,85.88,2.92,4.405,86.195,5.135,5.555,84.98,4.9,4.4,85.54,3.01,5.0,85.86,5.4,6.2,84.94,4.93,4.25,85.49,3.04,4.82,85.82,5.42,6.03,10.1,17,−+−+,0.2,0.048,14,8.4,1,6.8,3.38
Kickstand,MJS0000067129510,17,188,SCI,12.46,12.38,12.42,11.46,12.1,85.22,4.72,3.86,85.71,2.94,4.37,86.03,5.16,5.54,85.39,4.63,3.87,85.9,2.88,4.39,86.21,5.07,5.53,85.305,4.675,3.865,85.805,2.91,4.38,86.12,5.115,5.535,85.09,4.75,4.14,85.62,2.94,4.69,85.93,5.23,5.87,85.08,4.8,4.08,85.61,2.97,4.63,85.93,5.27,5.8,11.5,17,−+−+,0.2,0.048,14,8.4,1,6.8,3.39
Kickstand,MJS0000066250675,17,189,SCI,12.64,12.48,12.56,11.27,12.04,85.41,4.68,3.82,85.9,2.92,4.33,86.22,5.13,5.48,85.59,4.62,3.85,86.09,2.87,4.37,86.4,5.05,5.51,85.5,4.65,3.835,85.995,2.895,4.35,86.31,5.09,5.495,85.07,4.73,4.06,85.59,2.93,4.61,85.91,5.2,5.77,85.15,4.76,3.96,85.66,2.96,4.49,85.98,5.23,5.66,12.1,17,−+−+,0.2,0.048,14,8.4,1,6.8,3.41
Kickstand,MJS0000067310682,18,193,SCI,12.28,12.23,12.255,11.52,12.0,86.89,2.94,4.22,87.37,1.71,4.83,87.52,3.35,5.46,87.05,2.86,4.16,87.54,1.66,4.77,87.68,3.26,5.37,86.97,2.9,4.19,87.455,1.685,4.8,87.6,3.305,5.415,86.53,3.03,4.39,87.04,1.75,5.03,87.19,3.46,5.67,86.53,3.07,4.29,87.03,1.78,4.92,87.19,3.49,5.57,12.1,18,−−−−,0.2,0.032,14,5.6,1,6.8,2.27
Kickstand,MJS0000067162310,18,194,SCI,12.98,12.33,12.655,11.93,12.37,87.12,2.88,4.09,87.58,1.68,4.68,87.74,3.28,5.29,87.13,2.85,4.13,87.61,1.66,4.73,87.76,3.24,5.33,87.125,2.865,4.11,87.595,1.67,4.705,87.75,3.26,5.31,86.78,3.03,4.41,87.29,1.75,5.05,87.44,3.45,5.69,86.76,3.08,4.32,87.27,1.79,4.95,87.43,3.5,5.61,12.6,18,−−−−,0.2,0.032,14,5.6,1,6.8,2.35
Kickstand,MJS0000067129413,18,195,SCI,11.7,11.24,11.47,10.75,11.21,86.57,2.92,4.21,87.05,1.7,4.81,87.2,3.33,5.42,86.68,2.82,4.15,87.15,1.64,4.76,87.3,3.23,5.34,86.625,2.87,4.18,87.1,1.67,4.785,87.25,3.28,5.38,86.38,3.02,4.36,86.89,1.75,5.0,87.04,3.44,5.64,86.44,3.04,4.26,86.94,1.77,4.88,87.09,3.46,5.52,11.2,18,−−−−,0.2,0.032,14,5.6,1,6.8,2.29
Kickstand,MJS0000067129733,18,196,SCI,12.29,11.65,11.97,11.44,11.76,86.63,2.92,4.08,87.1,1.71,4.66,87.26,3.33,5.28,86.76,2.85,4.04,87.23,1.67,4.64,87.38,3.24,5.23,86.695,2.885,4.06,87.165,1.69,4.65,87.32,3.285,5.255,86.45,3.05,4.39,86.96,1.77,5.03,87.11,3.48,5.68,86.46,3.06,4.23,86.96,1.78,4.85,87.12,3.47,5.5,10.8,18,−−−−,0.2,0.032,14,5.6,1,6.8,2.36
Kickstand,MJS0000067129840,18,197,SCI,12.37,12.08,12.225,11.46,11.84,86.94,2.94,4.21,87.42,1.71,4.81,87.57,3.34,5.44,87.08,2.86,4.16,87.56,1.66,4.76,87.71,3.25,5.36,87.01,2.9,4.185,87.49,1.685,4.785,87.64,3.295,5.4,86.64,3.03,4.36,87.15,1.76,4.99,87.3,3.45,5.64,86.57,3.11,4.3,87.08,1.81,4.92,87.24,3.53,5.58,11.8,18,−−−−,0.2,0.032,14,5.6,1,6.8,2.28
Kickstand,MJS0000067384905,19,205,SCI,13.05,12.71,12.88,12.13,12.52,85.53,4.83,5.2,86.18,2.98,5.98,86.46,5.29,7.06,85.68,4.73,5.21,86.34,2.9,6.0,86.59,5.19,7.05,85.605,4.78,5.205,86.26,2.94,5.99,86.525,5.24,7.055,85.17,5.1,5.6,85.83,3.1,6.42,86.14,5.61,7.58,85.14,5.11,5.47,85.84,3.17,6.32,86.13,5.6,7.47,11.7,19,+++−,0.3,0.048,16,5.6,1,6.8,1.57
Kickstand,MJS0000067501403,19,206,SCI,12.08,11.94,12.01,11.08,11.84,85.51,4.83,5.21,86.17,2.94,5.95,86.43,5.26,7.02,85.68,4.78,5.26,86.33,2.94,5.98,86.56,5.22,7.07,85.595,4.805,5.235,86.25,2.94,5.965,86.495,5.24,7.045,85.14,5.08,5.58,85.84,3.12,6.45,86.11,5.6,7.54,85.16,5.14,5.47,85.82,3.16,6.28,86.1,5.58,7.42,12.1,19,+++−,0.3,0.048,16,5.6,1,6.8,1.56
